City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Plyussa,RU,58.43,29.37,43.81,83,58,10.63
Kletskaya,RU,49.31,43.06,43.21,67,98,7.05
Ţaga,RO,46.95,24.05,46.2,100,90,2.24
Biak,ID,-0.91,122.88,83.97,65,0,2.19
Martin,US,27.08,-80.42,76.26,61,40,16.11
Palmer,US,42.16,-72.33,49.03,62,1,4.7
Comodoro Rivadavia,AR,-45.87,-67.5,62.6,35,0,18.34
Ust'-Ilimsk,RU,58.0,102.66,23.9,96,100,11.68
San Quintín,MX,30.48,-115.95,67.87,72,0,8.72
Voznesen'ye,RU,61.01,35.48,44.44,79,13,16.49
Nkowakowa,ZA,-23.89,30.29,57.2,93,0,10.29
Villa Carlos Paz,AR,-31.42,-64.5,68.41,45,0,9.17
Donji Vakuf,BA,44.14,17.4,44.01,93,99,8.99
Mombetsu,JP,44.35,143.35,48.2,61,40,14.99
Socorro,US,31.65,-106.3,76.42,20,5,5.77
Linqiong,CN,30.42,103.46,57.54,100,75,0.96
Selma,US,36.57,-119.61,75.6,40,1,4.43
Vestnes,NO,62.63,7.09,48.2,81,90,23.04
Shestakovo,RU,56.49,103.96,24.78,95,100,12.82
Anloga,GH,5.79,0.9,80.6,88,40,6.93
Aswān,EG,24.09,32.91,64.54,49,0,9.22
Kununurra,AU,-15.77,128.73,91.4,49,0,10.29
Guaíra,BR,-20.32,-48.31,72.0,41,0,3.47
Saint-Pierre,RE,-21.34,55.48,67.5,60,0,5.82
Kichera,RU,55.94,110.1,19.35,88,94,2.1
Moerai,PF,-22.43,-151.33,71.42,90,100,10.36
Agadez,NE,19.75,10.25,67.96,26,1,6.69
Esmeraldas,BR,-19.76,-44.31,68.0,77,40,2.24
Jinchang,CN,38.5,102.17,40.82,54,0,10.16
Tegul'det,RU,57.31,88.17,30.22,98,100,14.47
City of San Pedro,PH,14.35,121.02,83.16,78,75,3.36
Samfya,ZM,-11.36,29.56,70.38,38,17,6.38
Vvedenskoye,RU,55.48,65.08,33.28,93,89,7.74
Atambua,ID,-9.11,124.89,87.85,41,0,4.16
Léo,BF,11.1,-2.1,79.12,35,41,2.75
Puntarenas,CR,9.98,-84.84,66.2,100,90,4.7
Abadiânia,BR,-16.2,-48.71,73.4,49,20,4.7
Shimoda,JP,34.67,138.95,60.69,48,20,9.17
São Félix do Xingu,BR,-6.64,-51.99,73.9,94,97,1.79
Mahuva,IN,21.09,71.76,76.08,43,0,6.26
Lhokseumawe,ID,5.18,97.15,80.42,78,19,2.71
Naujamiestis,LT,55.69,24.15,42.8,93,0,9.17
Mount Isa,AU,-20.73,139.5,96.8,9,0,12.75
Antalaha,MG,-14.9,50.28,68.4,84,1,6.58
Bintulu,MY,3.17,113.03,75.09,100,20,3.36
Yumen,CN,40.28,97.2,32.56,77,0,20.38
Bandar-e Lengeh,IR,26.56,54.88,69.8,64,0,4.7
Dhidhdhoo,MV,6.88,73.1,81.64,66,0,1.57
Barreirinhas,BR,-2.75,-42.83,79.93,81,97,7.49
Tūkrah,LY,32.53,20.58,68.22,63,80,6.78
Mana,GF,5.66,-53.78,79.63,85,98,9.46
Kaduqli,SD,11.02,29.72,79.11,32,0,9.78
Phan Thiet,VN,10.93,108.1,78.75,80,75,3.33
Gornopravdinsk,RU,60.05,69.9,35.78,89,100,11.63
Kérouané,GN,9.27,-9.02,72.55,72,0,2.15
Piaçabuçu,BR,-10.41,-36.43,78.19,80,100,11.83
Vestmanna,FO,62.16,-7.17,50.0,93,100,33.33
Airai,TL,-8.93,125.41,78.93,36,6,4.54
Sīrjān,IR,29.45,55.68,46.11,51,0,3.74
Baruun-Urt,MN,46.68,113.28,28.2,79,100,3.89
Lompoc,US,34.64,-120.46,65.75,68,1,12.75
Nampula,MZ,-15.12,39.27,69.91,82,70,4.56
Flinders,AU,-34.58,150.86,55.74,83,100,5.01
Alice Springs,AU,-23.7,133.88,77.0,36,0,18.34
Kédougou,SN,12.56,-12.17,82.4,78,20,11.41
São Luís,BR,-2.53,-44.3,80.6,83,0,5.82
Tazovsky,RU,67.47,78.7,-2.72,93,79,7.78
Urusha,RU,54.05,122.9,18.99,90,100,1.45
Petatlán,MX,17.52,-101.27,86.0,74,5,5.82
Powell River,CA,49.85,-124.54,54.81,93,90,13.87
Apatity,RU,67.56,33.4,34.39,93,100,8.88
San Rafael,AR,-34.62,-68.33,77.63,29,26,8.7
Maragogi,BR,-9.01,-35.22,76.84,83,0,8.16
Mēga,ET,4.05,38.3,59.04,100,100,7.63
Naze,JP,28.37,129.48,73.4,64,75,20.8
Abu Kamal,SY,34.45,40.92,64.04,63,82,5.14
Morwa,IN,22.9,73.83,67.41,37,0,4.85
Killybegs,IE,54.63,-8.45,45.0,93,100,3.0
Bluefield,US,37.27,-81.22,47.37,43,1,9.17
Vuktyl,RU,63.86,57.31,34.63,95,83,8.95
Kui Buri,TH,12.08,99.85,78.8,83,75,3.36
Nioro,GM,13.35,-15.75,76.41,78,8,4.81
Escárcega,MX,18.61,-90.75,73.62,89,100,6.73
Mukhen,RU,48.1,136.1,30.4,79,0,13.98
Chapais,CA,49.78,-74.85,24.8,92,90,11.41
Muros,ES,42.78,-9.06,54.0,64,93,8.99
Bubaque,GW,11.28,-15.83,83.88,72,0,11.48
Mairang,IN,25.57,91.63,68.0,100,75,1.92
Ulladulla,AU,-35.35,150.47,51.24,100,75,12.75
Ust'-Uda,RU,54.17,103.03,22.39,93,100,6.26
Omsukchan,RU,62.53,155.8,-6.75,86,99,6.15
Ahipara,NZ,-35.17,173.17,65.01,96,100,5.93
Guerrero Negro,MX,27.98,-114.06,72.05,62,0,12.82
Kumul,CN,42.8,93.45,35.55,67,12,2.28
Don Benito,ES,38.96,-5.86,54.0,93,100,5.01
Adré,TD,13.47,22.2,72.73,24,0,16.24
Pokhara,NP,28.23,83.98,59.2,34,0,5.23
Nouadhibou,MR,20.93,-17.03,69.8,64,0,12.75
Mareeba,AU,-17.0,145.43,89.08,51,0,6.93
La Ronge,CA,55.1,-105.28,30.2,68,6,13.87
Havøysund,NO,71.0,24.66,41.0,60,40,23.04
Stanari,BA,44.75,17.83,53.38,94,100,3.36
Atar,MR,20.52,-13.05,80.06,17,0,2.51
Pisco,PE,-13.7,-76.22,64.22,82,0,11.41
Ambon City,ID,-3.7,128.18,83.66,73,24,9.28
Māngrol,IN,21.12,70.12,77.07,49,0,7.05
Celestún,MX,20.87,-90.4,77.52,78,86,18.61
Santa María Rayón,MX,19.14,-99.58,66.2,19,5,5.82
Dumas,US,35.87,-101.97,61.39,29,1,5.7
Kenai,US,60.55,-151.26,22.17,45,1,5.82
Kismayo,SO,-0.36,42.55,79.2,80,97,9.89
Moussoro,TD,13.64,16.49,80.08,17,0,12.66
Coahuayana Viejo,MX,18.73,-103.68,80.6,61,40,0.47
Aykhal,RU,66.0,111.5,-4.0,83,90,2.24
Surubim,BR,-7.83,-35.75,73.4,88,0,13.87
Iberia,US,29.95,-91.75,63.45,46,1,6.15
Salalah,OM,17.02,54.09,71.6,53,0,3.36
Neuquén,AR,-38.95,-68.06,66.2,20,0,16.11
St. George's,GD,12.06,-61.75,80.6,78,20,9.17
Charters Towers,AU,-20.1,146.27,88.36,30,0,7.4
Rørvik,NO,64.86,11.24,48.96,85,100,56.1
Aromashevo,RU,56.86,68.64,32.49,96,39,11.97
